Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
Unbiased clustering estimates with the DESI fibre assignment,journal-article,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),2018,0035-8711,,https://doi.org/10.1093/mnras/sty2377,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo ON N2L 3G1, Canada"
Highly active fluorogenic oxidase-mimicking NiO nanozymes,journal-article,Chemical Communications,Royal Society of Chemistry (RSC),2018,1359-7345,,https://doi.org/10.1039/c8cc07062h,"Department of Chemistry, University of Waterloo, Waterloo"
Why Women Apologize More Than Men,journal-article,Psychological Science,SAGE Publications,2010,0956-7976,,https://doi.org/10.1177/0956797610384150,University of Waterloo
A Remote Intelligent Control System for Split Air Conditioning System,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2013,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.325-326.1162,University of Waterloo
Delivering Vitamin A Supplements to Children Aged 6 to 59 Months: Comparing Delivery Through Mass Campaign and Through Routine Health Services in Ethiopia,journal-article,Food and Nutrition Bulletin,SAGE Publications,2017,0379-5721,,https://doi.org/10.1177/0379572117708657,"University of Waterloo, Waterloo, Ontario, Canada"
A NEW ALGORITHM FOR U-SHAPED TWO-SIDED ASSEMBLY LINE BALANCING,journal-article,Transactions of the Canadian Society for Mechanical Engineering,Canadian Science Publishing,2018,0315-8977,,https://doi.org/10.1139/tcsme-2010-0014,"Department of Mechanical &amp; Mechatronics Engineering, University of Waterloo, ON, Canada"
"En/Activist Drag: Kings Reflect on Queerness, Queens, and Questionable Masculinities",journal-article,Leisure Sciences,Informa UK Limited,2016,0149-0400,,https://doi.org/10.1080/01490400.2016.1194791,"Department of Recreation and Leisure Studies, University of Waterloo, Waterloo, Ontario, Canada"
EmotiW 2016: video and group-level emotion recognition challenges,proceedings-article,Proceedings of the 18th ACM International Conference on Multimodal Interaction - ICMI 2016,ACM Press,2016,,9781450345569,https://doi.org/10.1145/2993148.2997638,"University of Waterloo, Canada"
Asymmetric Yield Locus Evolution for HCP Materials: A Continuum Constitutive Modeling Approach,journal-article,Key Engineering Materials,Trans Tech Publications,2013,1662-9795,,https://doi.org/10.4028/www.scientific.net/kem.554-557.1184,University of Waterloo
Design of an energy hub based on natural gas and renewable energy sources,journal-article,International Journal of Energy Research,Wiley,2013,0363-907X,,https://doi.org/10.1002/er.3050,Chemical Engineering Department; University of Waterloo; Waterloo Ontario Canada N2L 3G1
Effective Thermo-Capillary Mixing in Droplet Microfluidics Integrated with a Microwave Heater,journal-article,Analytical Chemistry,American Chemical Society (ACS),2016,0003-2700,,https://doi.org/10.1021/acs.analchem.6b04520,"Departmentof Mechanical and Mechatronics Engineering, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
Effectiveness of health promotion programmes for truck drivers: A systematic review,journal-article,Health Education Journal,SAGE Publications,2014,0017-8969,,https://doi.org/10.1177/0017896914533953,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada"
Sampling strategies to improve scaling parameter estimates in rivers,journal-article,Journal of Hydraulic Research,Informa UK Limited,2018,0022-1686,,https://doi.org/10.1080/00221686.2018.1522379,"(IAHR Member), Associate Professor, Department of Civil and Environmental Engineering, University of Waterloo, Waterloo, Canada"
Electrical Conductive Adhesives Enhanced with High-Aspect-Ratio Silver Nanobelts,journal-article,Macromolecular Materials and Engineering,Wiley,2013,1438-7492,,https://doi.org/10.1002/mame.201300295,Department of Chemical Engineering; University of Waterloo; 200 University Avenue West Waterloo ON N2L 3G1 Canada
Electrical Conductive Adhesives Enhanced with High-Aspect-Ratio Silver Nanobelts,journal-article,Macromolecular Materials and Engineering,Wiley,2013,1438-7492,,https://doi.org/10.1002/mame.201300295,"Waterloo Institute for Nanotechnology; University of Waterloo; 200 University Avenue West, Waterloo ON N2L 3G1 Canada"
Low-Temperature Sintering Bonding Using Silver Nanoparticle Paste for Electronics Packaging,journal-article,Journal of Nanomaterials,Hindawi Limited,2015,1687-4110,,https://doi.org/10.1155/2015/897142,"Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
Room-Temperature Joining of Silver Nanoparticles Using Potassium Chloride Solution for Flexible Electrode Application,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2018,1932-7447,,https://doi.org/10.1021/acs.jpcc.7b10601,"Departmentof Systems Design Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Log-gamma linear-mixed effects models for multiple outcomes with application to a longitudinal glaucoma study,journal-article,Biometrical Journal,Wiley,2015,0323-3847,,https://doi.org/10.1002/bimj.201300001,Department of Statistics and Actuarial Science; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
Reduction of the Available Area for Aqueous Humor Outflow and Increase in Meshwork Herniations into Collector Channels Following Acute IOP Elevation in Bovine Eyes,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2008,1552-5783,,https://doi.org/10.1167/iovs.08-1707,"University of Waterloo School of Optometry, Waterloo, Ontario, Canada."
Comparative analysis of different survey methods for monitoring fish assemblages in coastal habitats,journal-article,PeerJ,PeerJ,2016,2167-8359,,https://doi.org/10.7717/peerj.1832,"University of Waterloo, Canadian Rivers Institute, Waterloo, Ontario, Canada"
Compensatory Rationalizations and the Resolution of Everyday Undeserved Outcomes,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2009,0146-1672,,https://doi.org/10.1177/0146167209351701,"University of Waterloo,"
"Evolution of Cross-Cultural Analysis in the Study of Leisure: Commentary on “Culture, Self-Construal, and Leisure Theory and Practice”",journal-article,Journal of Leisure Research,Informa UK Limited,2018,0022-2216,,https://doi.org/10.1080/00222216.2005.11950042,Department of Recreation and Leisure Studies University of Waterloo
Derivation and Validation of the Detection of Indicators and Vulnerabilities for Emergency Room Trips Scale for Classifying the Risk of Emergency Department Use in Frail Community-Dwelling Older Adults,journal-article,Journal of the American Geriatrics Society,Wiley,2015,0002-8614,,https://doi.org/10.1111/jgs.13336,School of Public Health and Health Systems; University of Waterloo; Waterloo Ontario Canada
Correlation of Visually Evoked Functional and Blood Flow Changes in the Rat Retina Measured With a Combined OCT+ERG System,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2017,1552-5783,,https://doi.org/10.1167/iovs.17-21543,"Department of Physics and Astronomy, University of Waterloo, Waterloo, Ontario, Canada"
Doppio,proceedings-article,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems - CHI '16,ACM Press,2016,,9781450333627,https://doi.org/10.1145/2858036.2858256,"University of Waterloo, Waterloo, ON, Canada"
Highly Active Porous Carbon-Supported Nonprecious Metal−N Electrocatalyst for Oxygen Reduction Reaction in PEM Fuel Cells,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2010,1932-7447,,https://doi.org/10.1021/jp910138x,"Department of Chemical Engineering, Waterloo Institute for Nanotechnology, Waterloo Institute for Sustainable Energy, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Formulation strategies for optimizing the morphology of polymeric bulk heterojunction organic solar cells: a brief review,journal-article,Journal of Photonics for Energy,SPIE-Intl Soc Optical Eng,2014,1947-7988,,https://doi.org/10.1117/1.jpe.4.040998,"Université Bordeaux 1, CNRS UMR 5255, Institut des Sciences Moléculaires, 351 Cours de la Libération, Talence 33405, FrancebUMR 5258 UB1-CNRS-Solvay IPB, Laboratoire du Futur, 178 avenue Schweitzer, Pessac 33608, FrancecUniversity of Waterloo, Department"
Long-term changes in nutrient dynamics and plankton communities following the creation of a new reservoir,journal-article,Canadian Journal of Fisheries and Aquatic Sciences,Canadian Science Publishing,2018,0706-652X,,https://doi.org/10.1139/cjfas-2018-0197,"University of Waterloo, Institute for Groundwater Research, Waterloo, Ontario, Canada, N2L 3G1, , ;"
Toward Understanding the Effects of Cognitive Styles on Collaboration in Multiplayer Games,proceedings-article,Companion of the 2018 ACM Conference on Computer Supported Cooperative Work and Social Computing  - CSCW '18,ACM Press,2018,,9781450360180,https://doi.org/10.1145/3272973.3274047,"University of Waterloo, Waterloo, ON, Canada"
Collaborative Mixed Reality Games,proceedings-article,Companion of the 2018 ACM Conference on Computer Supported Cooperative Work and Social Computing  - CSCW '18,ACM Press,2018,,9781450360180,https://doi.org/10.1145/3272973.3273013,"TU Wien & University of Waterloo, Vienna, Austria"
What makes a code change easier to review: an empirical investigation on code change reviewability,proceedings-article,Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering  - ESEC/FSE 2018,ACM Press,2018,,9781450355735,https://doi.org/10.1145/3236024.3236080,"University of Waterloo, Canada"
"Pseudocapacitive Sodium Storage by Ferroelectric Sn2
P2
S6
 with Layered Nanostructure",journal-article,Small,Wiley,2018,1613-6810,,https://doi.org/10.1002/smll.201704367,Department of Chemical Engineering and Waterloo Institute for Nanotechnology (WIN); University of Waterloo; 200 University Ave W Waterloo Ontario N2L 3G1 Canada
ABOVE WATER,proceedings-article,Proceedings of the 2016 Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts - CHI PLAY Companion '16,ACM Press,2016,,9781450344586,https://doi.org/10.1145/2968120.2971804,"University of Waterloo, Waterloo, ON, Canada"
"Nonlinear Modeling, Experimental Verification, and Theoretical Analysis of a Hydraulic Engine Mount",journal-article,Modal Analysis,SAGE Publications,2003,1066-0763,,https://doi.org/10.1177/1077546302008001519,"Department of Mechanical Engineering, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
RESIDENTS' PERCEPTIONS OF KITCHENER-WATERLOO OKTOBERFEST: AN INDUCTIVE ANALYSIS,journal-article,Event Management,"Cognizant, LLC",2008,1525-9951,,https://doi.org/10.3727/1525995031436917,"Department of Recreation and Leisure Studies, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
Aligned Carbon Nanotube-Based Flexible Gel Substrates for Engineering Biohybrid Tissue Actuators,journal-article,Advanced Functional Materials,Wiley,2015,1616-301X,,https://doi.org/10.1002/adfm.201501379,Department of Chemistry and Waterloo Institute for Nanotechnology; University of Waterloo; 200 University Ave. West Waterloo Ontario N2L 3G1 Canada
Gear Fault Diagnosis Using Synchro-Squeezing Transform Based Feature Analysis,journal-article,Key Engineering Materials,Trans Tech Publications,2013,1662-9795,,https://doi.org/10.4028/www.scientific.net/kem.569-570.449,University of Waterloo
The JCMT Nearby Galaxies Legacy Survey - VIII. CO data and the LCO(3-2)-LFIR correlation in the SINGS sample,journal-article,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),2012,0035-8711,,https://doi.org/10.1111/j.1365-2966.2012.21453.x,Department of Physics and Astronomy; University of Waterloo; Waterloo; Ontario; N2L 3G1; Canada
Development of a vehicle–track model assembly and numerical method for simulation of wheel–rail dynamic interaction due to unsupported sleepers,journal-article,Vehicle System Dynamics,Informa UK Limited,2010,0042-3114,,https://doi.org/10.1080/00423110903540751,"a   Department of Mechanical and Mechatronics Engineering , University of Waterloo , 200 University Avenue, West, Waterloo, Ontario, N2L 3G1,  Canada"
THE MOTIVATIONAL IMPACT OF TEMPORAL FOCUS: Thinking About the Future and the Past,journal-article,Annual Review of Psychology,Annual Reviews,2002,0066-4308,,https://doi.org/10.1146/annurev.psych.47.1.593,"Department of Psychology, University of Waterloo, Waterloo, Ontario, N2L 3G1 Canada"
Muscle atrophy in cancer: a role for nutrition and exercise,journal-article,"Applied Physiology, Nutrition, and Metabolism",Canadian Science Publishing,2009,1715-5312,,https://doi.org/10.1139/h09-075,"Department of Kinesiology, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
Optimal sampling methods for modelling the occupancy of Arctic grayling (Thymallus arcticus) in the Canadian Barrenlands,journal-article,Canadian Journal of Fisheries and Aquatic Sciences,Canadian Science Publishing,2017,0706-652X,,https://doi.org/10.1139/cjfas-2016-0429,"Department of Biology, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
Optimal sampling methods for modelling the occupancy of Arctic grayling (Thymallus arcticus) in the Canadian Barrenlands,journal-article,Canadian Journal of Fisheries and Aquatic Sciences,Canadian Science Publishing,2017,0706-652X,,https://doi.org/10.1139/cjfas-2016-0429,"Department of Biology, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
"Coupled Bending, Torsion and Axial Vibrations of a Cable-Harnessed Beam With Periodic Wrapping Pattern",proceedings-article,Volume 8: 30th Conference on Mechanical Vibration and Noise,ASME,2018,,9780791851852,https://doi.org/10.1115/detc2018-86078,"University of Waterloo, Waterloo, ON, Canada"
Assessment of Jerk As a Method of Physical Fatigue Detection,proceedings-article,Volume 1B: 38th Computers and Information in Engineering Conference,ASME,2018,,9780791851739,https://doi.org/10.1115/detc2018-86289,"University of Waterloo, Waterloo, ON, Canada"
Characterization of a Non-Interdigitated Comb Drive,proceedings-article,Volume 4: 23rd Design for Manufacturing and the Life Cycle Conference; 12th International Conference on Micro- and Nanosystems,ASME,2018,,9780791851791,https://doi.org/10.1115/detc2018-86271,"University of Waterloo, Waterloo, ON, Canada"
A Novel Method for Rapid Microfabrication,proceedings-article,Volume 4: 23rd Design for Manufacturing and the Life Cycle Conference; 12th International Conference on Micro- and Nanosystems,ASME,2018,,9780791851791,https://doi.org/10.1115/detc2018-86252,"University of Waterloo, Waterloo, ON, Canada"
Prototyping Electrostatic Scanning Force Microscope,proceedings-article,Volume 4: 23rd Design for Manufacturing and the Life Cycle Conference; 12th International Conference on Micro- and Nanosystems,ASME,2018,,9780791851791,https://doi.org/10.1115/detc2018-86428,"University of Waterloo, Waterloo, ON, Canada"
A Triboelectric Nanogenerator (TENG) for Pipeline Monitoring,proceedings-article,Volume 8: 30th Conference on Mechanical Vibration and Noise,ASME,2018,,9780791851852,https://doi.org/10.1115/detc2018-85476,"University of Waterloo, Waterloo, ON, Canada"
"On structure, family and parameter estimation of hierarchical Archimedean copulas",journal-article,Journal of Statistical Computation and Simulation,Informa UK Limited,2017,0094-9655,,https://doi.org/10.1080/00949655.2017.1365148,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, ON, Canada"
"Effect of a semi-permanent road on N, P, and CO2
 dynamics in a poor fen on the Western Boreal Plain, Canada",journal-article,Ecohydrology,Wiley,2017,1936-0584,,https://doi.org/10.1002/eco.1874,Geography and Environmental Management; University of Waterloo; Waterloo Ontario Canada
Hollow Mesoporous Silica Nanocarriers with Multifunctional Capping Agents for In Vivo Cancer Imaging and Therapy,journal-article,Small,Wiley,2015,1613-6810,,https://doi.org/10.1002/smll.201503121,Department of Chemical Engineering; Waterloo Institute for Nanotechnology; University of Waterloo; Ontario N2L 3G1 Canada
A new soft lithographic route for the facile fabrication of hydrophilic sandwich microchips,journal-article,ELECTROPHORESIS,Wiley,2012,0173-0835,,https://doi.org/10.1002/elps.201200206,Department of Mechanical and Mechatronics Engineering; University of Waterloo; Waterloo; Ontario; Canada
New Multilateral Development Banks: Opportunities and Challenges for Global Governance,journal-article,Global Policy,Wiley,2017,1758-5880,,https://doi.org/10.1111/1758-5899.12396,University of Waterloo
Parallel weak signal detection algorithm under Gauss noise interference,journal-article,Journal of Intelligent & Fuzzy Systems,IOS Press,2018,1064-1246,,https://doi.org/10.3233/jifs-169740,"Department System Design Engineering, University of Waterloo, Waterloo, ON, Canada"
"Mineralization of quinoline in aqueous solution by microwave-assisted catalytic wet peroxide oxidation system: process optimization, products analysis and degradation route research",journal-article,Water Science and Technology,IWA Publishing,2018,0273-1223,,https://doi.org/10.2166/wst.2018.404,"Department of Systems Design Engineering, University of Waterloo, Waterloo, Canada N2L 3G1"
Asymmetries between convergence and divergence reveal tonic vergence is dependent upon phasic vergence function,journal-article,Journal of Vision,Association for Research in Vision and Ophthalmology (ARVO),2017,1534-7362,,https://doi.org/10.1167/17.5.4,"University of Waterloo, School of Optometry and Vision Science, University of Waterloo, Ontario, Canada"
Stress Corrosion Cracking in Pipeline Steels,journal-article,Key Engineering Materials,Trans Tech Publications,2013,1662-9795,,https://doi.org/10.4028/www.scientific.net/kem.577-578.5,University of Waterloo
Exercise is an effective treatment modality for reducing cancer-related fatigue and improving physical capacity in cancer patients and survivors: a meta-analysis,journal-article,"Applied Physiology, Nutrition, and Metabolism",Canadian Science Publishing,2011,1715-5312,,https://doi.org/10.1139/h11-082,"Department of Kinesiology, University of Waterloo, Waterloo, ON N2L3G1, Canada."
Autonomous Overhead Crane System Using a Fuzzy Logic Controller,journal-article,Modal Analysis,SAGE Publications,2004,1066-0763,,https://doi.org/10.1177/1077546304042038,"Department of Systems Design Engineering, University of Waterloo,                         Waterloo, Canada, N2L 3G1"
A Modified Power Law Representation of the Pasquill-Gifford Dispersion Coefficients,journal-article,Journal of the Air & Waste Management Association,Informa UK Limited,2012,1047-3289,,https://doi.org/10.1080/10473289.1990.10466761,"a  University of Waterloo ,  Waterloo ,  Ontario ,  USA"
Determination of the release of PEG and HPMC from nelfilcon A daily disposable contact lenses using a novel in vitro eye model,journal-article,"Journal of Biomaterials Science, Polymer Edition",Informa UK Limited,2018,0920-5063,,https://doi.org/10.1080/09205063.2018.1514192,"University of Waterloo Mass Spectrometry Facility, Department of Chemistry, University of Waterloo, Waterloo, ON, Canada;"
Tau-Derived-Hexapeptide 306VQIVYK311 Aggregation Inhibitors: Nitrocatechol Moiety as A Pharmacophore In Drug Design,journal-article,ACS Chemical Neuroscience,American Chemical Society (ACS),2013,1948-7193,,https://doi.org/10.1021/cn400151a,"School of Pharmacy, Health SciencesCampus, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Tau-Derived-Hexapeptide 306VQIVYK311 Aggregation Inhibitors: Nitrocatechol Moiety as A Pharmacophore In Drug Design,journal-article,ACS Chemical Neuroscience,American Chemical Society (ACS),2013,1948-7193,,https://doi.org/10.1021/cn400151a,"Departmentof Chemistry, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Testing Conditional Mean Independence Under Symmetry,journal-article,Journal of Business & Economic Statistics,Informa UK Limited,2016,0735-0015,,https://doi.org/10.1080/07350015.2016.1219263,"Department of Economics, University of Waterloo, Ontario, Canada, and Big Data Research Center, Jianghan University, Hubei, China ()"
George Box's contributions to time series analysis and forecasting,journal-article,Applied Stochastic Models in Business and Industry,Wiley,2014,1524-1904,,https://doi.org/10.1002/asmb.2016,Department of Statistics and Actuarial Science; University of Waterloo; Waterloo ON Canada
The TFOS International Workshop on Contact Lens Discomfort: Report of the Definition and Classification Subcommittee,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2013,1552-5783,,https://doi.org/10.1167/iovs.13-13074,"Centre for Contact Lens Research, School of Optometry and Vision Science, University of Waterloo, Waterloo, Ontario, Canada"
Using Smartphones as a Tool to Capture Road Traffic Attributes,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2013,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.432.513,University of Waterloo
"Micropolar elasticity theory: a survey of linear isotropic equations, representative notations, and experimental investigations",journal-article,Mathematics and Mechanics of Solids,SAGE Publications,2015,1081-2865,,https://doi.org/10.1177/1081286515581183,"Systems Design Engineering, University of Waterloo, Waterloo, ON, Canada"
Modeling Cyclists’ Route Choice Based on GPS Data,journal-article,Transportation Research Record: Journal of the Transportation Research Board,SAGE Publications,2014,0361-1981,,https://doi.org/10.3141/2430-16,"School of Planning, Department of Civil and Environmental Engineering, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada."
Sintering Characterizations of Ag-Nano Film on Silicon Substrate,journal-article,Advanced Materials Research,Trans Tech Publications,2013,1662-8985,,https://doi.org/10.4028/www.scientific.net/amr.829.342,University of Waterloo
A study of the effect of term proximity on query expansion,journal-article,Journal of Information Science,SAGE Publications,2006,0165-5515,,https://doi.org/10.1177/0165551506065787,"Department of Management Sciences, University of Waterloo, Waterloo,                         Canada,"
Why Get Involved? Reasons for Voluntary-Association Activity Among Americans and Canadians,journal-article,Nonprofit and Voluntary Sector Quarterly,SAGE Publications,2005,0899-7640,,https://doi.org/10.1177/0899764005276435,"University of Waterloo,"
Design of a Globally and Exponentially Convergent State Observer and its Application to a Mechanical System with Coulomb Friction,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2013,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.446-447.532,University of Waterloo
Hydrothermal Synthesis and Electrochemical Properties of Li2CoSiO4/C Nanospheres,journal-article,Chemistry of Materials,American Chemical Society (ACS),2013,0897-4756,,https://doi.org/10.1021/cm302823f,"Department of Chemistry and the Waterloo Instituteof Nanotechnology, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
"Effect of NR/ABS Ratio on Mechanical, Dynamical and Morphological Properties of Vulcanized NR/ABS Blends",journal-article,Advanced Materials Research,Trans Tech Publications,2013,1662-8985,,https://doi.org/10.4028/www.scientific.net/amr.844.61,University of Waterloo
Artificial Intelligence and Social Simulation: Studying Group Dynamics on a Massive Scale,journal-article,Small Group Research,SAGE Publications,2018,1046-4964,,https://doi.org/10.1177/1046496418802362,"University of Waterloo, Ontario, Canada"
Testing peatland testate amoeba transfer functions: Appropriate methods for clustered training-sets,journal-article,The Holocene,SAGE Publications,2011,0959-6836,,https://doi.org/10.1177/0959683611430412,"University of Waterloo, Canada"
Noncontact Measurements of Central Corneal Epithelial and Flap Thickness after Laser In Situ Keratomileusis,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2004,1552-5783,,https://doi.org/10.1167/iovs.03-1088,"From the School of Optometry, University of Waterloo, Waterloo, Ontario, Canada; the"
Optimal Water Quality Control of Sequencing Batch Reactors Under Uncertainty,journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2018,0888-5885,,https://doi.org/10.1021/acs.iecr.8b01076,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Batteries: Gas Pickering Emulsion Templated Hollow Carbon for High Rate Performance Lithium Sulfur Batteries (Adv. Funct. Mater. 46/2016),journal-article,Advanced Functional Materials,Wiley,2016,1616-301X,,https://doi.org/10.1002/adfm.201670305,Department of Chemical Engineering; Waterloo Institute for Nanotechnology; University of Waterloo; 200 University Ave West Waterloo Ontario N2L 3G1 Canada
Application of a fully-integrated surface-subsurface flow model at the watershed-scale: A case study,journal-article,Water Resources Research,American Geophysical Union (AGU),2008,0043-1397,,https://doi.org/10.1029/2006wr005603,"Department of Earth and Environmental Sciences; University of Waterloo; Waterloo, Ontario Canada"
Pore-water extraction from the unsaturated and saturated zones,journal-article,Canadian Journal of Earth Sciences,Canadian Science Publishing,2013,0008-4077,,https://doi.org/10.1139/cjes-2012-0165,"Department of Earth and Environmental Sciences, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
The effects of dual porosity on transport and retardation in peat: A laboratory experiment,journal-article,Canadian Journal of Soil Science,Canadian Science Publishing,2012,0008-4271,,https://doi.org/10.4141/cjss2011-050,"Department of Geography and Environmental Management, University of Waterloo, Canada N2L 3G1"
The effects of dual porosity on transport and retardation in peat: A laboratory experiment,journal-article,Canadian Journal of Soil Science,Canadian Science Publishing,2012,0008-4271,,https://doi.org/10.4141/cjss2011-050,"Ecohydrology Research Group, University of Waterloo, Canada N2L 3G1"
ITERATED FUNCTION SYSTEMS WITH PLACE-DEPENDENT PROBABILITIES AND THE INVERSE PROBLEM OF MEASURE APPROXIMATION USING MOMENTS,journal-article,Fractals,World Scientific Pub Co Pte Lt,2018,0218-348X,,https://doi.org/10.1142/s0218348x18500767,"Department of Applied Mathematics, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
Bifurcation Analysis and Application for Impulsive Systems with Delayed Impulses,journal-article,International Journal of Bifurcation and Chaos,World Scientific Pub Co Pte Lt,2017,0218-1274,,https://doi.org/10.1142/s0218127417501863,"Department of Applied Mathematics, University of Waterloo, 200 University Avenue W, Waterloo, Ontario, N2L 3G1, Canada"
Comparing Safety at Signalized Intersections and Roundabouts Using Simulated Rear-End Conflicts,journal-article,Transportation Research Record: Journal of the Transportation Research Board,SAGE Publications,2009,0361-1981,,https://doi.org/10.3141/2078-12,"Department of Civil Engineering, University of Waterloo, 200 University Street West, Waterloo, Ontario N2L 6P6, Canada."
Analytical Method for Estimating Delays to Vehicles Traversing Single-Lane Roundabouts as a Function of Vehicle and Pedestrian Volumes,journal-article,Transportation Research Record: Journal of the Transportation Research Board,SAGE Publications,2013,0361-1981,,https://doi.org/10.3141/2312-06,"Department of Civil and Environmental Engineering, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada."
A Novel Weighted Dynamic Time Warping for Light Weight Speaker-Dependent Speech Recognition in Noisy and Bad Recording Conditions,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2014,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.490-491.1347,University of Waterloo
An Efficient Stream Cipher WG-16 and its Application for Securing 4G-LTE Networks,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2014,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.490-491.1436,University of Waterloo
A sliding mode vibration controller for lead screw drives,journal-article,Journal of Vibration and Control,SAGE Publications,2012,1077-5463,,https://doi.org/10.1177/1077546311426169,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, Canada; currently with Maplesoft, Waterloo, Canada"
Why Common Sense Goes Out the Window: Effects of Alcohol on Intentions to Use Condoms,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2007,0146-1672,,https://doi.org/10.1177/0146167296228001,University of Waterloo
Research on Fabrication and Electronic Characteristics of Dual-Extended Nano Structure Memristor,journal-article,Key Engineering Materials,Trans Tech Publications,2014,1662-9795,,https://doi.org/10.4028/www.scientific.net/kem.609-610.728,University of Waterloo
Automatic steering control in tractor semi-trailer vehicles for low-speed maneuverability enhancement,journal-article,"Proceedings of the Institution of Mechanical Engineers, Part K: Journal of Multi-body Dynamics",SAGE Publications,2016,1464-4193,,https://doi.org/10.1177/1464419316651375,"Mechanical and Mechatronics Engineering Department, University of Waterloo, Waterloo, ON, Canada"
Determination of Thermodynamic Parameters of Zinc (II) Adsorpton on Pulp Waste as Biosorbent,journal-article,Advanced Materials Research,Trans Tech Publications,2014,1662-8985,,https://doi.org/10.4028/www.scientific.net/amr.931-932.215,University of Waterloo
Early-Stage Precipitation Phenomena and Composition-Dependent Hardening in Al-Mg-Si-(Cu) Alloys,journal-article,Materials Science Forum,Trans Tech Publications,2014,1662-9752,,https://doi.org/10.4028/www.scientific.net/msf.794-796.933,University of Waterloo
"Three Point Bend Performance of Solutionized, Die Quenched and Heat Treated AA7075 Beam Members",journal-article,Materials Science Forum,Trans Tech Publications,2014,1662-9752,,https://doi.org/10.4028/www.scientific.net/msf.794-796.431,University of Waterloo
Material Flow and Grain Deformation during Extrusion,journal-article,Materials Science Forum,Trans Tech Publications,2014,1662-9752,,https://doi.org/10.4028/www.scientific.net/msf.794-796.664,University of Waterloo
Constitutive Analyses of Tensile Tests on Pre-Rolled AA3003 Sheets,journal-article,Materials Science Forum,Trans Tech Publications,2014,1662-9752,,https://doi.org/10.4028/www.scientific.net/msf.794-796.710,University of Waterloo
EAP-Based Group Authentication and Key Agreement Protocol for Machine-Type Communications,journal-article,International Journal of Distributed Sensor Networks,SAGE Publications,2013,1550-1477,,https://doi.org/10.1155/2013/304601,"Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada, N2L 3G1"
Thermal Processing History and Resulting Impact Response of a Hot-Formed Component with Tailored Properties – Numerical Study,journal-article,Applied Mechanics and Materials,Trans Tech Publications,2014,1662-7482,,https://doi.org/10.4028/www.scientific.net/amm.566.34,University of Waterloo
